issue date,release date,company,file number,url,comment
2011-11-01,2022-03-23,Google,342366,https://storage.googleapis.com/transparencyreport/legal/NSLs/11-342366/NSL-11-342366-request-redacted.pdf,
2011-12-28,2022-03-23,Google,344313,https://storage.googleapis.com/transparencyreport/legal/NSLs/11-344313/NSL-11-344313-request-redacted.pdf,
2020-12-03,2022-03-18,Google,523680,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-523680/NSL-20-523680-request-redacted.pdf,
2015-09-04,2022-03-14,Google,418095,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-418095/NSL-15-418095-request-redacted.pdf,
2011-08-31,2022-03-08,Google,338847,https://storage.googleapis.com/transparencyreport/legal/NSLs/11-338847/NSL-11-338847-request-redacted.pdf,
2015-12-15,2022-03-04,Google,419223,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-419223/NSL-15-419223-request-redacted.pdf,
2013-02-07,2022-03-02,Google,362610,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-362610/NSL-13-362610-request-redacted.pdf,
2020-03-05,2022-01-24,Google,509094,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-509094/NSL-20-509094-request-redacted.pdf,
2019-09-10,2022-01-06,Google,494513,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-494513/NSL-19-494513-request-redacted.pdf,
2017-05-08,2021-12-28,Google,429683,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-429683/NSL-17-429683-request-redacted.pdf,
2015-03-20,2021-12-16,Google,413278,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-413278/NSL-15-413278-request-redacted.pdf,
2015-06-24,2021-12-16,Google,415945,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-415945/NSL-15-415945-request-redacted.pdf,
2016-11-28,2021-12-16,Google,426304,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-426304/NSL-16-426304-request-redacted.pdf,
2016-11-28,2021-12-16,Google,426311,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-426311/NSL-16-426311-request-redacted.pdf,
2016-11-28,2021-12-16,Google,426330,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-426330/NSL-16-426330-request-redacted.pdf,
2021-04-25,2021-11-30,Google,527897,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-527897/NSL-21-527897-request-redacted.pdf,
2020-03-31,2021-10-06,Google,509924,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-509924/NSL-20-509924-request-redacted.pdf,
2019-07-11,2021-09-16,Google,489668,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-489668/NSL-19-489668-request-redacted.pdf,
2019-11-05,2021-09-16,Google,501392,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-501392/NSL-19-501392-request-redacted.pdf,
2015-04-27,2021-09-03,Google,414420,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-414420/NSL-15-414420-request-redacted.pdf,
2019-10-09,2021-08-18,Google,499418,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-499418/NSL-19-499418-request-redacted.pdf,
2018-05-16,2021-08-16,Google,448908,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-448908/NSL-18-448908-request-redacted.pdf,
2018-09-10,2021-07-27,Google,455369,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-455369/NSL-18-455369-request-redacted.pdf,
2018-11-21,2021-07-27,Google,461230,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-461230/NSL-18-461230-request-redacted.pdf,
2014-10-29,2021-07-21,Google,398382,https://storage.googleapis.com/transparencyreport/legal/NSLs/14-398382/NSL-14-398382-request-redacted.pdf,
2011-03-08,2021-07-19,Google,325536,https://storage.googleapis.com/transparencyreport/legal/NSLs/11-325536/NSL-11-325536-request-redacted.pdf,
2012-05-09,2021-07-19,Google,349927,https://storage.googleapis.com/transparencyreport/legal/NSLs/12-349927/NSL-12-349927-request-redacted.pdf,
2013-07-10,2021-06-28,Google,370091,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-370091/NSL-13-370091-request-redacted.pdf,
2013-11-14,2021-06-28,Google,376261,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-376261/NSL-13-376261-request-redacted.pdf,
2021-03-04,2021-06-08,Google,532552,https://storage.googleapis.com/transparencyreport/legal/NSLs/21-532552/NSL-21-532552-request-redacted.pdf,
2019-04-16,2021-05-28,Google,472409,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-472409/NSL-19-472409-request-redacted.pdf,
2019-10-03,2021-05-17,Google,496252,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-496252/NSL-19-496252-request-redacted.pdf,
2017-08-06,2021-04-29,Google,431485,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-431485/NSL-17-431485-request-redacted.pdf,
2019-05-20,2021-04-26,Google,480569,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-480569/NSL-19-480569-request-redacted.pdf,
2013-12-11,2021-04-22,Google,377056,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-377056/NSL-13-377056-request-redacted.pdf,
2014-04-25,2021-04-22,Google,385446,https://storage.googleapis.com/transparencyreport/legal/NSLs/14-385446/NSL-14-385446-request-redacted.pdf,
2012-10-26,2021-03-30,Google,357019,https://storage.googleapis.com/transparencyreport/legal/NSLs/12-357019/NSL-12-357019-request-redacted.pdf,
2019-02-12,2021-03-29,Google,470447,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-470447/NSL-19-470447-request-redacted.pdf,
2012-02-15,2021-03-26,Google,346362,https://storage.googleapis.com/transparencyreport/legal/NSLs/12-346362/NSL-12-346362-request-redacted.pdf,
2013-06-18,2021-03-26,Google,368998,https://storage.googleapis.com/transparencyreport/legal/NSLs/13-368998/NSL-13-368998-request-redacted.pdf,
2017-12-26,2021-03-26,Google,435703,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-435703/NSL-17-435703-request-redacted.pdf,
2015-08-20,2021-03-17,Google,416625,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-416625/NSL-15-416625-request-redacted.pdf,
2017-12-21,2021-03-08,Google,434843,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-434843/NSL-17-434843-request-redacted.pdf,
2016-07-22,2021-02-21,Google,423497,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-423497/NSL-16-423497-request-redacted.pdf,
2020-03-12,2021-02-12,Google,508593,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-508593/NSL-20-508593-request-redacted.pdf,
2018-09-04,2021-02-11,Google,456329,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-456329/NSL-18-456329-request-redacted.pdf,
2018-11-07,2021-02-11,Google,462728,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-462728/NSL-18-462728-request-redacted.pdf,
2020-05-14,2021-02-05,Google,508552,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-508552/NSL-20-508552-request-redacted.pdf,
2019-07-07,2021-02-03,Google,473948,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-473948/NSL-19-473948-request-redacted.pdf,
2012-10-01,2021-01-20,Google,356022,https://storage.googleapis.com/transparencyreport/legal/NSLs/12-356022/NSL-12-356022-request-redacted.pdf,
2012-11-14,2021-01-20,Google,357569,https://storage.googleapis.com/transparencyreport/legal/NSLs/12-357569/NSL-12-357569-request-redacted.pdf,
2015-03-16,2021-01-06,Google,412886,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-412886/NSL-15-412886-request-redacted.pdf,
2017-09-18,2021-01-04,Google,432056,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-432056/NSL-17-432056-request-redacted.pdf,
2018-03-29,2021-01-04,Google,440140,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-440140/NSL-18-440140-request-redacted.pdf,
2018-03-02,2020-12-17,Google,440570,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-440570/NSL-18-440570-request-redacted.pdf,
2018-04-24,2020-12-02,Google,444387,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-444387/NSL-18-444387-request-redacted.pdf,
2019-02-13,2020-11-30,Google,471947,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-471947/NSL-19-471947-request-redacted.pdf,
2017-06-06,2020-11-20,Google,429459,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-429459/NSL-17-429459-request-redacted.pdf,
2017-06-26,2020-11-19,Google,430136,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-430136/NSL-17-430136-request-redacted.pdf,
2018-11-27,2020-11-04,Google,457728,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-457728/NSL-18-457728-request-redacted.pdf,
2018-09-28,2020-10-20,Google,458927,https://storage.googleapis.com/transparencyreport/legal/NSLs/18-458927/NSL-18-458927-request-redacted.pdf,
2019-04-05,2020-10-11,Google,478589,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-478589/NSL-19-478589-request-redacted.pdf,
2016-01-11,2020-10-08,Google,420184,https://storage.googleapis.com/transparencyreport/legal/NSLs/15-420184/NSL-15-420184-request-redacted.pdf,
2016-05-16,2020-10-07,Google,422320,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-422320/NSL-16-422320-request-redacted.pdf,
2016-01-27,2020-10-06,Google,420393,https://storage.googleapis.com/transparencyreport/legal/NSLs/16-420393/NSL-16-420393-request-redacted.pdf,
2017-09-13,2020-10-02,Google,431338,https://storage.googleapis.com/transparencyreport/legal/NSLs/17-431338/NSL-17-431338-request-redacted.pdf,
2019-07-15,2020-09-30,Google,479575,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-479575/NSL-19-479575-request-redacted.pdf,
2019-10-02,2020-09-30,Google,497253,https://storage.googleapis.com/transparencyreport/legal/NSLs/19-497253/NSL-19-497253-request-redacted.pdf,
2020-05-13,2020-09-18,Google,511559,https://storage.googleapis.com/transparencyreport/legal/NSLs/20-511559/NSL-20-511559-request-redacted.pdf,
